t,phase,temp,power,sm_mhz,throttle
9.432,idle,60,6.188,210,1
9.483,idle,60,6.188,210,1
9.533,idle,60,6.188,210,1
9.584,idle,60,6.188,210,1
9.634,idle,60,6.188,210,1
9.685,idle,60,6.188,210,1
9.735,idle,60,6.188,210,1
9.785,idle,60,6.188,210,1
9.836,idle,60,6.188,210,1
9.886,idle,60,6.188,210,1
9.937,idle,60,6.188,210,1
9.987,idle,60,6.188,210,1
10.044,load,60,6.188,210,1
10.094,load,60,6.193,210,1
10.145,load,60,6.193,210,1
10.195,load,60,6.193,210,1
10.246,load,60,6.193,210,1
10.296,load,60,6.193,210,1
10.347,load,60,6.193,210,1
10.397,load,60,6.193,210,1
10.448,load,60,6.193,210,1
10.498,load,60,6.193,210,1
10.548,load,60,6.193,210,1
10.599,load,61,7.132,1500,0
10.65,load,61,7.132,1500,0
10.7,load,61,7.132,1500,0
10.751,load,61,7.132,1500,0
10.801,load,61,7.132,1500,0
10.851,load,61,7.132,1500,0
10.901,load,61,7.132,1500,0
10.952,load,61,7.132,1500,0
11.002,load,61,7.132,1500,0
11.053,load,62,10.509,1500,0
11.103,load,62,10.509,1500,0
11.153,load,62,10.509,1500,0
11.204,load,62,10.509,1500,0
11.255,load,62,10.509,1500,0
11.305,load,62,10.509,1500,0
11.356,load,62,10.509,1500,0
11.406,load,62,10.509,1500,0
11.457,load,62,10.509,1500,0
11.507,load,62,10.509,1500,0
11.557,load,62,14.914,1500,0
11.608,load,62,14.914,1500,0
11.658,load,62,14.914,1500,0
11.708,load,62,14.914,1500,0
11.759,load,62,14.914,1500,0
11.81,load,62,14.914,1500,0
11.86,load,62,14.914,1500,0
11.91,load,62,14.914,1500,0
11.961,load,62,14.914,1500,0
12.012,load,62,14.914,1500,0
12.062,load,62,15.02,1500,0
12.113,load,62,15.02,1500,0
12.163,load,62,15.02,1500,0
12.214,load,62,15.02,1500,0
12.264,load,62,15.02,1500,0
12.314,load,62,15.02,1500,0
12.365,load,62,15.02,1500,0
12.415,load,62,15.02,1500,0
12.466,load,62,15.02,1500,0
12.516,load,62,15.02,1500,0
12.566,load,62,14.855,1500,0
12.617,load,62,14.855,1500,0
12.668,load,62,14.855,1500,0
12.718,load,62,14.855,1500,0
12.768,load,62,14.855,1500,0
12.819,load,62,14.855,1500,0
12.869,load,62,14.855,1500,0
12.92,load,62,14.855,1500,0
12.97,load,62,14.855,1500,0
