elapsed,tokens,decode_s,tok_s
17.71191906929016,128,4.9303639,25.961572532201934
22.874378442764282,128,4.8877224,26.18806665452195
28.26942205429077,128,5.1243492,24.978781695829785
33.62281370162964,128,5.0617544,25.287674961076736
38.94403433799744,128,5.0483665,25.354736031942213
44.41375184059143,128,5.1791789,24.71434226765173
49.717628479003906,128,5.0234153,25.48067248192679
55.13007616996765,128,5.1545587,24.832387688203067
60.45744800567627,128,5.0470896,25.361150711491234
65.83556032180786,128,5.0960299,25.117592029826987
71.11908602714539,128,4.99285,25.6366604244069
76.63910460472107,128,5.2397149,24.42881004842458
81.98112773895264,128,5.0450273,25.371517811211845
87.41810917854309,128,5.1664785,24.775095841393707
92.81607270240784,128,5.0916011,25.13943992980911
98.30514883995056,128,5.2107499,24.564602496082188
103.76920771598816,128,5.1719344,24.748960466319915
109.2224223613739,128,5.1681702,24.766986195617168
114.71346306800842,128,5.185043,24.68639122182786
120.11089324951172,128,5.1024264,25.086104132731833
125.71575164794922,128,5.2947038,24.175101164299313
131.1208517551422,128,5.1341204,24.931242360424584
136.66306734085083,128,5.2564883,24.35085796728588
142.16095161437988,128,5.2060553,24.58675381339111
147.6743242740631,128,5.2372806,24.440164615201255
153.07114481925964,128,5.1176137,25.011657288630442
158.57815170288086,128,5.1989286,24.62045737654485
164.02567744255066,128,5.1333001,24.935226366368102
169.60746908187866,128,5.2566795,24.349972259103872
175.0183823108673,128,5.1223969,24.988301863137547
180.5626621246338,128,5.2446123,24.405998513941633
186.057790517807,128,5.1780018,24.7199605067731
191.44425439834595,128,5.0858297,25.167968168497662
197.0457808971405,128,5.2747898,24.26636981818688
202.57389497756958,128,5.2466902,24.39633275850745
208.1040222644806,128,5.2195034,24.523405809066052
213.4913136959076,128,5.0733672,25.22979215854906
218.98261713981628,128,5.2014179,24.608674492391778
224.4805727005005,128,5.2108835,24.56397269292242
230.05268692970276,128,5.2805043,24.24010903655547
235.51998281478882,128,5.1553201,24.82872014096661
241.08729553222656,128,5.2773843,24.254439836795665
247.86621236801147,128,6.436915,19.885302198335694
256.6034152507782,128,8.2664249,15.484323821776933
262.5253303050995,128,5.4553528,23.463193801141514
268.5569338798523,128,5.6600328,22.614709935956554
274.4533681869507,128,5.560756,23.018452886621894
280.5642454624176,128,5.7795622,22.14700622133628
286.07178115844727,128,5.20534,24.590132440916445
292.0078365802765,128,5.6240329,22.75946856569776
297.92612624168396,128,5.5872174,22.909436099622685
303.9124164581299,128,5.5791468,22.942576094251542
309.4588475227356,128,5.2091791,24.572009820126937
315.01550674438477,128,5.248129,24.389644385646772
320.9210386276245,128,5.5540799,23.04612146469121
326.4535849094391,128,5.2107951,24.56438941535045
332.08817172050476,128,5.2864191,24.21298757792397
337.55469393730164,128,5.1509282,24.84989016154409
343.1253926753998,128,5.2458542,24.400220654245402
348.56597781181335,128,5.1314727,24.944106201714764
354.21935510635376,128,5.3444758,23.94996343701285
359.6359763145447,128,5.1045962,25.075440835065468
365.18047285079956,128,5.2458721,24.400137395648667
370.61033964157104,128,5.1130569,25.03394789132896
376.20185446739197,128,5.2799694,24.242564739106253
381.81314182281494,128,5.2876414,24.207390463354795
387.2687895298004,128,5.1200235,24.99988525443291
392.8768677711487,128,5.2493638,24.383907246055227
398.28541922569275,128,5.1057818,25.069618133700896
403.96717619895935,128,5.3719982,23.827260403773032
409.4984338283539,128,5.2133277,24.552456197986558
415.1691792011261,128,5.3474103,23.93682040818899
420.6960496902466,128,5.221804,24.51260139216256
426.6181650161743,128,5.6011732,22.852355288709873
432.0552451610565,128,5.1286403,24.95788211156084
437.6702935695648,128,5.2983081,24.158655477207905
443.2113585472107,128,5.2289281,24.479204447274768
448.9122316837311,128,5.367154,23.848766031308212
454.87040996551514,128,5.5899738,22.898139522585954
460.6756932735443,128,5.4490032,23.49053492939773
466.51501846313477,128,5.4418512,23.521407568071687
472.13248658180237,128,5.3042209,24.13172498151425
477.87586402893066,128,5.409389,23.662561520349154
483.3240373134613,128,5.1519577,24.844924483754983
488.9014778137207,128,5.2812679,24.236604244219464
494.3185625076294,128,5.1240635,24.980174426019506
499.88224363327026,128,5.2475566,24.3923047919102
505.2855501174927,128,5.1155731,25.021634428408422
510.84356331825256,128,5.2488448,24.38631829998098
516.2287740707397,128,5.0751327,25.22101540320315
521.7095935344696,128,5.1804388,24.708331657156148
527.189927816391,128,5.1431338,24.887550076958913
532.5874149799347,128,5.0845521,25.174292146598322
538.1982312202454,128,5.2552492,24.356599492941267
543.5947835445404,128,5.1011605,25.09232948071326
549.1309325695038,128,5.235629,24.44787436237365
554.5660214424133,128,5.1294177,24.954099565726533
560.257274389267,128,5.3681252,23.84445131793871
565.6711208820343,128,5.11244,25.036968649020817
571.213479757309,128,5.2151305,24.5439687463238
576.6624612808228,128,5.1405688,24.899968268102942
582.1740300655365,128,5.1950652,24.63876680508264
587.7234981060028,128,5.2133315,24.552438301688664
593.3124434947968,128,5.2703203,24.28694893553244
598.9046692848206,128,5.261144,24.329309366936165
604.319169998169,128,5.1051951,25.072499188130926
609.9168636798859,128,5.2774036,24.25435113585021
615.4885516166687,128,5.2495832,24.382888150053514
621.0659790039062,128,5.2539116,24.362800470415223
626.5349032878876,128,5.1374867,24.914906349051957
632.1548006534576,128,5.3169788,24.073821772620196
637.5818247795105,128,5.1213447,24.993435806029616
643.2356109619141,128,5.3337201,23.998259676206107
648.6673758029938,128,5.1041717,25.07752629089652
654.1169457435608,128,5.1325196,24.93901825528343
659.7116048336029,128,5.221951,24.511911352672595
665.135463476181,128,5.1011793,25.09223700488238
671.0214586257935,128,5.5431351,23.09162553155163
676.4754416942596,128,5.1437803,24.884422066004646
682.1732711791992,128,5.3757867,23.81046852175143
687.6633427143097,128,5.1816538,24.702538019811357
693.3046615123749,128,5.3301191,24.014472772287583
698.8467736244202,128,5.2278163,24.48441044112434
704.5665466785431,128,5.391766,23.73990265898038
710.0548713207245,128,5.1698641,24.758871321201656
715.7791175842285,128,5.4062216,23.676424954537563
721.337146282196,128,5.2352387,24.449697011905112
726.779155254364,128,5.1299122,24.951694105018017
732.3503723144531,128,5.2380539,24.436556485224408
737.7894947528839,128,5.1256133,24.972621325139762
743.4812986850739,128,5.372811,23.823655810710633
748.9533376693726,128,5.1675126,24.77013795767039
754.5956201553345,128,5.3155337,24.08036656789515
760.0203039646149,128,5.1015277,25.090523374008143
765.6454939842224,128,5.3141236,24.0867562809416
771.13867020607,128,5.1514309,24.847465196514623
776.6345567703247,128,5.1616691,24.798180108058457
782.1429750919342,128,5.1759899,24.729569120681628
787.6191449165344,128,5.1700692,24.757889120710413
793.2254400253296,128,5.2575224,24.34606840667003
798.6344769001007,128,5.1031161,25.082713677629243
804.2091977596283,128,5.2569595,24.348675313172947
809.6353859901428,128,5.1124013,25.03715817457444
815.2375719547272,128,5.2769096,24.256621716619897
820.6313688755035,128,5.0710002,25.24156871459007
826.2069103717804,128,5.2469538,24.395107119105948
831.6451365947723,128,5.1245918,24.97759919141267
837.1580674648285,128,5.2052417,24.59059682089306
842.7115747928619,128,5.2105044,24.565759890731503
848.275452375412,128,5.2594831,24.336992355769716
853.9307863712311,128,5.2907847,24.193008647658637
859.394758939743,128,5.1325313,24.938961404872483
864.9691381454468,128,5.2664297,24.304891034622564
870.3695955276489,128,5.0702946,25.245081419923803
875.9386653900146,128,5.2495002,24.383273668605632
881.4157266616821,128,5.1507792,24.850609010768704
887.0850267410278,128,5.3322321,24.004956573439483
892.4852421283722,128,5.0929032,25.1330125418445
898.0363056659698,128,5.21524,24.543453417292397
903.5460619926453,128,5.1737993,24.740039684183344
