elapsed,tokens,decode_s,tok_s,ttft
3.6216864585876465,128,3.0822199,41.5285100196777,0.1933004
6.9755775928497314,128,3.0323269,42.21180770450574,0.0211894
10.43363070487976,128,3.1465535,40.67942909599344,0.0208463
13.843899726867676,128,3.062264,41.79913946021637,0.0235851
17.239211797714233,128,3.0638722,41.77719945368479,0.0216517
20.610700845718384,128,3.0513416,41.948761161319986,0.0224882
24.090948343276978,128,3.0996823,41.29455460645112,0.0274256
27.413071632385254,128,3.0126905,42.486939830029,0.0234844
30.75998854637146,128,3.0239051,42.32937072000044,0.0230902
34.248257637023926,128,3.1549143,40.57162503590034,0.025037
37.67057728767395,128,3.0929931,41.3838621237144,0.0229939
41.026983976364136,128,3.0392737,42.11532511862949,0.0237602
44.45576453208923,128,3.0756592,41.61709463779342,0.0246063
48.04049515724182,128,3.1532678,40.5928097829179,0.0243517
51.39092826843262,128,3.0360613,42.15988656092023,0.0248802
54.76256608963013,128,3.0472407,42.00521475051183,0.0240097
58.236719369888306,128,3.1455472,40.69244295555317,0.0237602
61.672099590301514,128,3.071946,41.66739910141649,0.0243919
65.04048705101013,128,3.0489196,41.98208440786697,0.0218911
68.49209499359131,128,3.1262016,40.94425644206695,0.0234415
72.0825662612915,128,3.1937919,40.07775209148724,0.0273679
75.52994298934937,128,3.1114098,41.138907513886465,0.0248031
79.02619647979736,128,3.180188,40.249192815015974,0.0237626
82.6036126613617,128,3.2120582,39.84983833730036,0.0234526
86.25445318222046,128,3.2367731,39.54555850702046,0.0236852
89.79771685600281,128,3.2159159,39.80203586791557,0.0230395
93.32624387741089,128,3.1974235,40.032232201958855,0.0241993
96.91383481025696,128,3.1974373,40.03205942458981,0.0244744
100.34059762954712,128,3.0976019,41.32228870339988,0.0236586
103.83623600006104,128,3.1543431,40.578971894338316,0.0243223
107.40321516990662,128,3.2486744,39.40068601519438,0.0242873
110.92469906806946,128,3.1682266,40.40115059951835,0.0243002
114.51036596298218,128,3.2382289,39.52778013932245,0.0232299
118.12003445625305,128,3.2756315,39.07643457452403,0.0234981
121.62987542152405,128,3.1300928,40.89335626087508,0.0263059
125.18935370445251,128,3.2321381,39.602268232288715,0.0230564
128.74262523651123,128,3.2255212,39.68350913334564,0.024127
