t,phase,temp,power,sm_mhz,throttle
9.427,idle,54,6.129,210,1
9.478,idle,53,6.128,210,1
9.528,idle,53,6.128,210,1
9.579,idle,53,6.128,210,1
9.629,idle,53,6.128,210,1
9.679,idle,53,6.128,210,1
9.73,idle,53,6.128,210,1
9.78,idle,53,6.128,210,1
9.831,idle,53,6.128,210,1
9.881,idle,53,6.128,210,1
9.931,idle,53,6.128,210,1
9.982,idle,53,6.128,210,1
10.032,load,53,6.128,210,1
10.083,load,53,6.128,210,1
10.133,load,53,6.128,210,1
10.183,load,53,6.128,210,1
10.234,load,53,6.128,210,1
10.284,load,53,6.128,210,1
10.334,load,53,6.128,210,1
10.384,load,53,6.128,210,1
10.434,load,54,6.785,1500,0
10.485,load,54,6.785,1500,0
10.536,load,54,6.785,1500,0
10.586,load,54,6.785,1500,0
10.637,load,54,6.785,1500,0
10.687,load,54,6.785,1500,0
10.738,load,54,6.785,1500,0
10.788,load,54,6.785,1500,0
10.838,load,54,6.785,1500,0
10.889,load,54,6.785,1500,0
10.939,load,56,8.641,1500,0
10.99,load,56,8.641,1500,0
11.04,load,56,8.641,1500,0
11.09,load,56,8.641,1500,0
11.141,load,56,8.641,1500,0
11.191,load,56,8.641,1500,0
11.241,load,56,8.641,1500,0
11.292,load,56,8.641,1500,0
11.342,load,56,8.641,1500,0
11.393,load,56,8.641,1500,0
11.443,load,56,13.814,1500,0
11.494,load,56,13.814,1500,0
11.544,load,56,13.814,1500,0
11.595,load,56,13.814,1500,0
11.645,load,56,13.814,1500,0
11.696,load,56,13.814,1500,0
11.746,load,56,13.814,1500,0
11.797,load,56,13.814,1500,0
11.847,load,56,13.814,1500,0
11.897,load,56,13.814,1500,0
11.948,load,56,14.08,1500,0
11.998,load,56,14.08,1500,0
12.049,load,56,14.08,1500,0
12.099,load,56,14.08,1500,0
12.149,load,56,14.08,1500,0
12.199,load,56,14.08,1500,0
12.249,load,56,14.08,1500,0
12.3,load,56,14.08,1500,0
12.35,load,56,14.08,1500,0
12.401,load,56,14.08,1500,0
12.451,load,56,14.06,1500,0
12.501,load,56,14.06,1500,0
12.552,load,56,14.06,1500,0
12.602,load,56,14.06,1500,0
12.653,load,56,14.06,1500,0
12.703,load,56,14.06,1500,0
12.753,load,56,14.06,1500,0
12.803,load,56,14.06,1500,0
12.854,load,56,14.06,1500,0
12.904,load,56,14.06,1500,0
12.954,load,56,14.046,1500,0
13.005,load,56,14.046,1500,0
13.055,load,56,14.046,1500,0
13.106,load,56,14.046,1500,0
13.156,load,56,14.046,1500,0
13.207,load,56,14.046,1500,0
13.257,load,56,14.046,1500,0
13.307,load,56,14.046,1500,0
13.358,load,56,14.046,1500,0
13.408,load,56,14.046,1500,0
13.459,load,57,13.808,1500,0
13.509,load,57,13.808,1500,0
13.56,load,57,13.808,1500,0
13.61,load,57,13.808,1500,0
13.66,load,57,13.808,1500,0
13.71,load,57,13.808,1500,0
13.761,load,57,13.808,1500,0
13.811,load,57,13.808,1500,0
13.862,load,57,13.808,1500,0
13.912,load,57,13.808,1500,0
13.962,load,57,13.697,1500,0
14.013,load,57,13.697,1500,0
14.063,load,57,13.697,1500,0
14.114,load,57,13.697,1500,0
14.164,load,57,13.697,1500,0
14.215,load,57,13.697,1500,0
14.265,load,57,13.697,1500,0
14.316,load,57,13.697,1500,0
14.366,load,57,13.697,1500,0
14.417,load,57,13.697,1500,0
14.467,load,57,13.718,1500,0
14.518,load,57,13.718,1500,0
14.568,load,57,13.718,1500,0
14.619,load,57,13.718,1500,0
14.669,load,57,13.718,1500,0
14.72,load,57,13.718,1500,0
14.77,load,57,13.718,1500,0
14.821,load,57,13.718,1500,0
14.871,load,57,13.718,1500,0
14.922,load,57,13.718,1500,0
14.972,load,57,13.602,1500,0
15.023,load,57,13.602,1500,0
15.073,load,57,13.602,1500,0
15.124,load,57,13.602,1500,0
15.174,load,57,13.602,1500,0
15.225,load,57,13.602,1500,0
15.275,load,57,13.602,1500,0
15.326,load,57,13.602,1500,0
15.376,load,57,13.602,1500,0
15.427,load,57,13.602,1500,0
15.477,load,57,13.617,1500,0
15.527,load,57,13.617,1500,0
15.578,load,57,13.617,1500,0
15.628,load,57,13.617,1500,0
15.679,load,57,13.617,1500,0
15.729,load,57,13.617,1500,0
15.78,load,57,13.617,1500,0
