elapsed,tokens,decode_s,tok_s
13.34291958808899,128,0.7291216,175.55370736513635
14.086589574813843,128,0.5166517,247.74911221621838
14.802459001541138,128,0.5100774,250.94230797130004
15.513906002044678,128,0.5090123,251.46740068953147
16.265199184417725,128,0.5184756,246.87757726689549
16.997106552124023,128,0.5137603,249.14342349924667
17.721704721450806,128,0.5162595,247.93732609278862
18.468905448913574,128,0.5129496,249.53718649941436
19.224462270736694,128,0.507626,252.15414498075353
19.993592023849487,128,0.51745,247.36689535220796
20.79154634475708,128,0.5253881,243.62942365843458
21.534712076187134,128,0.5162742,247.93026651341475
22.27639126777649,128,0.5182804,246.97055879404277
23.038418531417847,128,0.5172377,247.46842699207733
23.772515773773193,128,0.5114318,250.27774964325644
24.507500886917114,128,0.5122363,249.88467236703062
25.24911141395569,128,0.5153174,248.39060353871224
25.977939128875732,128,0.5141783,248.94088295830454
26.734233617782593,128,0.5218946,245.26024986654394
27.48154902458191,128,0.5193561,246.45902878583692
28.210092067718506,128,0.5226059,244.9264350058046
28.949402332305908,128,0.5141584,248.95051797267146
29.671555995941162,128,0.5170263,247.5696110623386
30.402907371520996,128,0.5117948,250.10023548500297
31.1215078830719,128,0.5097476,251.10466434761048
31.850525856018066,128,0.5188421,246.7031877328382
32.589515209198,128,0.5171296,247.52015742282015
33.49856996536255,128,0.5235674,244.47664235779385
34.23607134819031,128,0.5194073,246.43473435972115
34.966050148010254,128,0.5248999,243.8560190238177
35.72531294822693,128,0.5215749,245.41058244942388
36.45698070526123,128,0.5184776,246.8766249496603
37.22408676147461,128,0.526471,243.12830146389828
37.969414710998535,128,0.5161503,247.98978127107551
38.71997785568237,128,0.5217198,245.34242327011552
39.46945667266846,128,0.5227738,244.84777163660462
40.2441942691803,128,0.5237452,244.39364790359892
41.02338242530823,128,0.5265002,243.1148174302688
41.80568528175354,128,0.5338224,239.78012162846667
42.58264636993408,128,0.5302716,241.38573515911472
43.34865164756775,128,0.5207411,245.80352885531795
44.14964032173157,128,0.5265071,243.11163135311946
44.924498319625854,128,0.5314143,240.86668348969908
45.686060667037964,128,0.5300102,241.5047861343046
46.469345569610596,128,0.5269831,242.89203961189645
47.218411445617676,128,0.5304889,241.28685821701453
48.000521183013916,128,0.5394852,237.26322798104565
48.785266637802124,128,0.520465,245.93392447138618
49.53940534591675,128,0.5284713,242.2080442211337
50.303759813308716,128,0.5277835,242.5236863221378
51.05581474304199,128,0.5214392,245.47444841124334
51.81703782081604,128,0.5288177,242.04938677355167
52.56342935562134,128,0.522349,245.04689393489795
53.300570249557495,128,0.5298068,241.59750308980557
54.07862043380737,128,0.5265243,243.1036896112867
54.85219407081604,128,0.5409768,236.60903757795157
55.61236310005188,128,0.5304433,241.30760064270774
56.38639259338379,128,0.5292474,241.8528650306076
57.160998582839966,128,0.545751,234.53919461439375
57.92501139640808,128,0.5389047,237.51880434518384
58.749611139297485,128,0.5460309,234.4189678642729
59.55343794822693,128,0.558132,229.3364293751299
60.39955425262451,128,0.5507759,232.39942052656988
61.204139709472656,128,0.5519104,231.92170323298853
62.00966119766235,128,0.5456499,234.5826508902503
62.775561809539795,128,0.5393965,237.30224426743595
63.5597779750824,128,0.5527093,231.58647773793567
64.34851551055908,128,0.5434332,235.5395290534329
65.13428258895874,128,0.5549125,230.6669970490843
65.9094808101654,128,0.5580498,229.37021032889893
66.69500994682312,128,0.5364225,238.6178804953185
67.49110507965088,128,0.5586246,229.13419852974607
68.30322432518005,128,0.5650212,226.5401722979598
69.14554238319397,128,0.5635813,227.11896225087668
69.96209669113159,128,0.5599176,228.60506617402274
70.7525749206543,128,0.5659308,226.1760625150637
71.52262711524963,128,0.5603412,228.4322480659998
72.31236910820007,128,0.5639671,226.9635941529213
73.13755702972412,128,0.5622282,227.66556355586576
73.96687865257263,128,0.5784698,221.2734355363063
74.77744054794312,128,0.5687122,225.0699035469962
75.59361577033997,128,0.5736792,223.12121478345392
76.43727350234985,128,0.5671206,225.70155272088513
77.26841139793396,128,0.5738757,223.04481615095395
78.06987118721008,128,0.5690129,224.95096332613898
78.92439079284668,128,0.5724715,223.5919168028452
79.74533462524414,128,0.5776245,221.5972487316587
80.55826902389526,128,0.5738156,223.0681773029524
81.37062120437622,128,0.563157,227.29008074124977
82.21153378486633,128,0.5729609,223.40093364137064
83.03047823905945,128,0.5778039,221.52844589660955
83.87837386131287,128,0.5772953,221.72361354752067
84.68606162071228,128,0.585798,218.50535508827272
85.52309799194336,128,0.5787873,221.1520536127866
86.40198588371277,128,0.6013498,212.85448170099997
87.32805585861206,128,0.6081487,210.47483945949404
88.19324016571045,128,0.5902118,216.87129942166527
89.1112174987793,128,0.5954074,214.97885313484514
90.03131914138794,128,0.5923839,216.07609524836852
90.92464542388916,128,0.5862716,218.32884280937367
91.77675938606262,128,0.6084432,210.37296497027168
92.67209792137146,128,0.5983109,213.93559769678274
93.52925229072571,128,0.5868474,218.11462400617265
94.36195087432861,128,0.5863315,218.30653819554297
95.17622137069702,128,0.5897051,217.0576445752292
96.0020489692688,128,0.5906883,216.69635237400163
96.87436938285828,128,0.597185,214.33894019441212
97.7316529750824,128,0.609333,210.06576042984705
98.58909559249878,128,0.5994006,213.54666645312003
99.43825793266296,128,0.60787,210.5713392666195
100.270010471344,128,0.5974553,214.24196923184044
101.21681427955627,128,0.6118287,209.20888477444748
102.07473134994507,128,0.6022755,212.52732345911465
102.99640130996704,128,0.604276,211.8237361735366
103.90240526199341,128,0.6136513,208.58751541795806
104.75572061538696,128,0.6077766,210.6036987932737
105.61911582946777,128,0.5997379,213.42656517121895
106.47027134895325,128,0.6169121,207.4849885421278
107.32520627975464,128,0.617904,207.15192003935886
108.36981797218323,128,0.625031,204.78984242381577
110.90879201889038,128,0.6606316,193.75397725449403
112.06970262527466,128,0.6201731,206.3939890330619
113.17025995254517,128,0.6202857,206.3565224863317
114.13237261772156,128,0.6152251,208.05393017937664
115.0535671710968,128,0.6276572,203.93297487864393
