t,phase,temp,power,sm_mhz,throttle
0.0,idle,55,6.201,210,1
0.051,idle,55,6.201,210,1
0.101,idle,55,6.201,210,1
0.151,idle,55,6.201,210,1
0.201,idle,55,6.201,210,1
0.252,idle,55,6.201,210,1
0.302,idle,55,6.201,210,1
0.352,idle,55,6.201,210,1
0.403,idle,55,6.201,210,1
0.453,idle,55,6.201,210,1
0.504,idle,55,6.201,210,1
0.554,idle,55,6.201,210,1
0.605,idle,55,6.167,210,1
0.656,idle,55,6.167,210,1
0.706,idle,55,6.167,210,1
0.756,idle,55,6.167,210,1
0.807,idle,55,6.167,210,1
0.858,idle,55,6.167,210,1
0.908,idle,55,6.167,210,1
0.958,idle,55,6.167,210,1
1.009,idle,55,6.167,210,1
1.059,idle,55,6.167,210,1
1.109,idle,55,6.167,210,1
1.16,idle,55,6.167,210,1
1.21,idle,55,6.167,210,1
1.26,idle,55,6.167,210,1
1.31,idle,55,6.167,210,1
1.361,idle,55,6.167,210,1
1.411,idle,55,6.167,210,1
1.461,idle,55,6.167,210,1
1.512,idle,55,6.167,210,1
1.562,idle,55,6.167,210,1
1.613,idle,55,6.132,210,1
1.663,idle,55,6.132,210,1
1.713,idle,55,6.132,210,1
1.764,idle,55,6.132,210,1
1.814,idle,55,6.132,210,1
1.865,idle,55,6.132,210,1
1.915,idle,55,6.132,210,1
1.965,idle,55,6.132,210,1
2.016,idle,55,6.132,210,1
2.066,idle,55,6.132,210,1
2.117,idle,55,6.132,210,1
2.167,idle,55,6.132,210,1
2.218,idle,55,6.132,210,1
2.268,idle,55,6.132,210,1
2.319,idle,55,6.132,210,1
2.369,idle,55,6.132,210,1
2.419,idle,55,6.132,210,1
2.47,idle,55,6.132,210,1
2.52,idle,55,6.132,210,1
2.57,idle,55,6.132,210,1
2.621,idle,55,6.131,210,1
2.671,idle,55,6.131,210,1
2.722,idle,55,6.131,210,1
2.772,idle,55,6.131,210,1
2.823,idle,55,6.131,210,1
2.873,idle,55,6.131,210,1
2.923,idle,55,6.131,210,1
2.974,idle,55,6.131,210,1
3.024,idle,55,6.131,210,1
3.074,idle,55,6.131,210,1
3.125,idle,55,6.131,210,1
3.175,idle,55,6.131,210,1
3.225,idle,55,6.131,210,1
3.276,idle,55,6.131,210,1
3.326,idle,55,6.131,210,1
3.377,idle,55,6.131,210,1
3.427,idle,55,6.131,210,1
3.477,idle,55,6.131,210,1
3.528,idle,55,6.131,210,1
3.578,idle,55,6.131,210,1
3.629,idle,55,6.131,210,1
3.679,idle,55,6.131,210,1
3.729,idle,55,6.131,210,1
3.779,idle,55,6.131,210,1
3.83,idle,55,6.131,210,1
3.881,idle,55,6.131,210,1
3.931,idle,55,6.131,210,1
3.982,idle,55,6.131,210,1
4.033,idle,55,6.131,210,1
4.083,idle,55,6.131,210,1
4.133,idle,55,6.131,210,1
4.184,idle,55,6.131,210,1
4.234,idle,55,6.131,210,1
4.285,idle,55,6.131,210,1
4.335,idle,55,6.131,210,1
4.385,idle,55,6.131,210,1
4.435,idle,55,6.131,210,1
4.486,idle,55,6.131,210,1
4.536,idle,55,6.131,210,1
4.587,idle,55,6.13,210,1
4.637,idle,55,6.13,210,1
4.688,idle,55,6.13,210,1
4.738,idle,55,6.13,210,1
4.788,idle,55,6.13,210,1
4.839,idle,55,6.13,210,1
4.889,idle,55,6.13,210,1
4.94,idle,55,6.13,210,1
4.99,idle,55,6.13,210,1
5.041,idle,55,6.13,210,1
5.092,idle,55,6.13,210,1
5.142,idle,55,6.13,210,1
5.192,idle,55,6.13,210,1
5.243,idle,55,6.13,210,1
5.294,idle,55,6.13,210,1
5.344,idle,55,6.13,210,1
5.394,idle,55,6.13,210,1
5.445,idle,55,6.13,210,1
5.495,idle,55,6.13,210,1
5.545,idle,55,6.13,210,1
5.596,idle,55,6.128,210,1
5.646,idle,55,6.128,210,1
5.697,idle,55,6.128,210,1
5.747,idle,55,6.128,210,1
5.797,idle,55,6.128,210,1
5.848,idle,55,6.128,210,1
5.898,idle,55,6.128,210,1
5.949,idle,55,6.128,210,1
5.999,idle,55,6.128,210,1
6.049,idle,55,6.128,210,1
6.1,idle,55,6.128,210,1
6.15,idle,55,6.128,210,1
6.201,idle,55,6.128,210,1
6.251,idle,55,6.128,210,1
6.302,idle,55,6.128,210,1
6.352,idle,55,6.128,210,1
6.403,idle,55,6.128,210,1
6.453,idle,55,6.128,210,1
6.503,idle,55,6.128,210,1
6.554,idle,55,6.128,210,1
6.604,idle,55,6.127,210,1
6.655,idle,55,6.127,210,1
